date,amount,description
2026-07-01,-4523.10,ROCKET MORTGAGE PAYMENT
2026-07-01,8250.00,ACME CORP PAYROLL
2026-07-02,-142.87,WHOLE FOODS MARKET
2026-07-02,-5.65,STARBUCKS #14832
2026-07-03,-38.20,SHELL 12994 QUINCY IL
2026-07-04,-89.14,COMED ELECTRIC
2026-07-05,-15.99,NETFLIX.COM
2026-07-06,-67.42,TRADER JOE'S #431
2026-07-06,-24.30,UBER TRIP EATS
2026-07-07,-1250.00,AMERICAN EXPRESS PAYMENT
2026-07-08,-92.11,COSTCO WHOLESALE
2026-07-08,-11.99,SPOTIFY PREMIUM
2026-07-09,-58.00,SHELL 12994 QUINCY IL
2026-07-10,-410.00,BLUE CROSS BLUE SHIELD
2026-07-11,-32.50,STARBUCKS #14832
2026-07-11,-88.75,WHOLE FOODS MARKET
2026-07-12,-16.40,UBER TRIP
2026-07-13,-2199.00,AMEX TRAVEL - UNITED AIR
2026-07-15,-72.10,COSTCO GAS QUINCY
2026-07-16,-16.99,APPLE.COM/BILL ICLOUD
